,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
129,N/A,N/A,fslr,N/A,N/A,N/A,N/A,N/A,4.56,15.92,1.83,1.24,11.70,12.51,3.90,1.5,33.90,6240000000.0,4390000000.0,17.84,29.43,1.29,6.55,1.29,827100000.0,1.5,396920000.0,3.91,194.10,31.20,1990000000.0,19.85,229120000.0,3.19,50.13,62.25,1.5,26.82,62.70,7980000.0,3.50,11.00,8880000.0,N/A
130,N/A,N/A,fti,N/A,N/A,N/A,N/A,N/A,52.83,13.39,1.15,3.70,8.81,13.50,9.73,1.5,33.61,9140000000.0,9670000000.0,16.74,1.29,1.22,7.41,1.22,1940000000.0,1.5,699900000.0,2.95,5.20,5.30,638800000.0,2.76,1310000000.0,1.59,10.61,39.50,1.5,0.37,94.10,13720000.0,3.50,7.40,12640000.0,N/A
131,N/A,N/A,ftr,N/A,N/A,N/A,N/A,N/A,268.10,54.15,1.47,1.92,2.78,20.15,3.38,1.5,4.80,7060000000.0,16570000000.0,35.20,1.30,3.47,7.89,3.47,4770000000.0,1.5,129850000.0,0.13,79.40,12.70,682130000.0,0.68,9810000000.0,0.98,3.65,7.04,1.5,0.78,63.50,112610000.0,11.50,11.30,122090000.0,N/A
132,N/A,N/A,gci,N/A,N/A,N/A,N/A,N/A,128.10,7.67,1.32,2.43,17.68,19.21,7.06,1.5,26.55,7970000000.0,12610000000.0,11.56,14.52,2.10,8.88,2.10,2960000000.0,1.5,1060000000.0,4.58,645.00,24.30,118480000.0,0.52,4500000000.0,1.31,14.36,35.14,1.5,0.26,94.20,9600000.0,6.10,4.30,8920000.0,N/A
133,N/A,N/A,ge,N/A,N/A,N/A,N/A,N/A,266.73,18.03,1.85,2.14,10.26,13.75,1.96,1.5,14.78,271950000000.0,636010000000.0,15.01,2.38,4.28,20.20,4.28,64730000000.00001,1.5,15340000000.0,1.50,60.70,4.60,15920000000.0,1.58,364980000000.0,2.56,12.74,27.02,1.5,0.03,54.20,76640000.0,2.30,0.80,84560000.0,N/A
134,N/A,N/A,ges,N/A,N/A,N/A,N/A,N/A,0.73,16.45,0.64,1.44,3.91,6.23,5.60,1.5,28.58,1560000000.0,1140000000.0,18.08,10.08,0.47,4.85,0.47,867880000.0,1.5,93910000.0,1.11,22.60,9.30,483480000.0,5.66,7980000.0,3.68,12.59,18.26,1.5,29.73,76.50,14000000.0,5.00,28.30,9510000.0,N/A
135,N/A,N/A,gild,N/A,N/A,N/A,N/A,N/A,78.34,13.69,6.07,9.84,48.62,62.82,34.15,1.5,16.35,149920000000.0,153850000000.0,9.68,0.81,6.18,9.22,6.18,21100000000.0,1.5,12100000000.0,7.35,340.50,134.40,10130000000.0,6.80,12400000000.0,3.08,10.30,100.65,1.5,0.59,94.30,57310000.0,5.30,3.90,55990000.0,N/A
136,N/A,N/A,gis,N/A,N/A,N/A,N/A,N/A,154.74,24.33,1.90,6.14,8.17,14.76,7.02,1.5,29.02,33650000000.0,43180000000.0,18.94,3.38,2.45,13.70,2.45,6370000000.0,1.5,1440000000.0,2.32,16.40,0.60,784200000.0,1.32,10290000000.0,0.67,9.13,56.45,1.5,0.25,71.10,13940000.0,4.00,2.30,13240000.0,N/A
137,N/A,N/A,glw,N/A,N/A,N/A,N/A,N/A,15.42,13.09,2.94,1.48,25.45,18.91,3.92,1.5,7.44,28830000000.0,25770000000.0,13.66,1.31,2.65,8.49,2.65,4050000000.0,1.5,2380000000.0,1.73,134.70,22.90,6070000000.0,4.77,3340000000.0,4.41,15.13,22.68,1.5,0.45,77.70,21100000.0,2.60,1.70,18630000.0,N/A
138,N/A,N/A,gm,N/A,N/A,N/A,N/A,N/A,130.03,22.48,0.38,1.65,2.53,2.01,1.14,1.5,97.15,59760000000.0,80560000000.0,7.28,0.45,0.52,8.87,0.52,13810000000.0,1.5,2800000000.0,1.65,91.10,2.10,25180000000.0,15.63,46840000000.0,1.27,22.16,37.11,1.5,0.03,71.20,52390000.0,4.00,3.30,50930000.0,N/A
